StnID,Year,Lat,Lon,Level,Reason,TriggerAnomYear,TriggerAnomValue,TriggerZrob,NextAnomYear,NextAnomValue,NextZrob,Cap,MedianA,MAD_A,ScaleA,AbsMinEffective,QC_Zrob,QC_MinAbsGlobal,QC_StnAbsMult,QC_LevelConfirmK,QC_RobustFallbackAbs,LevelLocalMedian,LevelLocalScale,LevelLocalScore,QC_LevelWindowYears,QC_LevelMinPoints,SourceType
1000511678,1988,35.7498,-102.1827,-112.2487,spike_pair_year_level,1988,-11.987799999999993,-19.779458675535807,1989.0,11.573300000000003,20.636981388308826,100.0,-0.4572000000000003,0.3932000000000073,0.5829583200000108,10.0,6.0,10.0,10.0,6.0,50.0,-100.6754,0.849678060000016,13.620805979149074,2,3,depth
1000511689,2001,35.7567,-102.0816,-11.0429,spike_pair_year_level,2001,83.35670999999999,280.7219744261285,2002.0,-82.97570999999999,-276.9916877899535,100.0,-0.36576000000000874,0.20115999999998735,0.29823981599998123,10.0,6.0,10.0,10.0,6.0,50.0,-94.01861,0.5648706000000003,146.89330618375243,2,3,depth
1000511689,2006,35.7567,-102.0816,-64.47739,robust_jump_year_level,2007,-30.233109999999996,-100.14541452105063,,,,100.0,-0.36576000000000874,0.20115999999998735,0.29823981599998123,10.0,6.0,10.0,10.0,6.0,50.0,-94.7105,0.2349921000000054,128.65585694157082,2,3,depth
1000514535,2007,35.6834,-105.9414,-25.72512,robust_jump_year_level,2007,-11.417810000000001,-22.325648162122864,,,,100.0,-0.32004000000000055,0.3352800000000009,0.49708612800000135,10.0,6.0,10.0,10.0,6.0,50.0,-15.15466,1.2562811100000006,8.414088149426998,2,3,depth
1000517288,2015,35.9034,-101.6188,-102.1202,robust_jump_year_level,2015,-13.30453,-37.4161992910102,,,,100.0,-0.4541499999999985,0.23165000000000902,0.34344429000001336,10.0,6.0,10.0,10.0,6.0,50.0,-88.81567,0.9444606779999937,14.08690727937335,2,3,depth
1000517724,1973,35.7939,-105.9275,-39.80231,robust_jump_year_level,1974,10.677149999999997,67.15708752645905,,,,100.0,-0.0960099999999997,0.10820000000000007,0.1604173200000001,10.0,6.0,10.0,10.0,6.0,50.0,-29.12516,0.44285262000000025,24.10993978086884,2,3,depth
1000518519,1979,35.8333,-115.6586,-33.78708,robust_jump_year_level,1979,-13.629130000000004,-19.188932753146712,,,,100.0,0.3101350000000007,0.48996499999999976,0.7264221089999996,10.0,6.0,10.0,10.0,6.0,50.0,-20.2692,0.16493925000000273,81.95672042888384,2,3,depth
1000521232,2009,35.9469,-110.799,-26.48712,spike_pair_year_level,2009,56.84519999999999,193.89015139723756,2010.0,-56.78424,-192.9562411148854,100.0,-0.10667999999999722,0.19811999999999585,0.29373271199999385,10.0,6.0,10.0,10.0,6.0,50.0,-83.27136,0.27113788799999594,209.42938081748594,2,3,depth
1000522365,1979,36.0208,-115.1014,-62.484,robust_jump_year_level,1980,15.21866,14.876391893226172,,,,100.0,-0.1760249999999992,0.6979900000000008,1.0348399740000012,10.348399740000012,6.0,10.0,10.0,6.0,50.0,-48.68266,2.101318631999995,6.56794252419689,2,3,depth
1000522541,2008,36.0289,-101.9188,-101.6904,robust_jump_year_level,2008,-11.341579999999993,-24.4759889365449,,,,100.0,-0.612639999999999,0.29565999999999804,0.43834551599999705,10.0,6.0,10.0,10.0,6.0,50.0,-90.34882,0.7456291920000047,15.210751029715482,2,3,depth
